810	4650	4570	6520
810	4650	4570	6510
810	4640	4580	6510
810	4640	4580	6520
800	4640	4610	6530
790	4640	4600	6530
790	4630	4610	6530
780	4630	4610	6530
780	4630	4600	6530
780	4630	4600	6510
790	4620	4580	6500
800	4600	4550	6490
820	4570	4520	6480
830	4580	4510	6470
840	4580	4500	6450
840	4580	4480	6440
840	4600	4480	6420
870	4570	4480	6400
880	4570	4460	6390
900	4600	4440	6370
920	4580	4430	6340
940	4570	4420	6320
960	4550	4400	6290
970	4550	4380	6280
970	4560	4350	6260
990	4570	4330	6240
1010	4570	4310	6210
1020	4560	4290	6190
1040	4560	4250	6180
1060	4570	4220	6140
1100	4570	4190	6120
1120	4570	4170	6110
1140	4570	4150	6090
1180	4570	4130	6080
1190	4550	4110	6050
1220	4540	4090	6020
1250	4530	4060	5990
1260	4530	4050	5980
1260	4530	4030	5970
1280	4560	4010	5970
1290	4610	3990	5960
1300	4660	3980	5950
1310	4690	3960	5940
1320	4730	3950	5910
1320	4750	3950	5900
1320	4750	3940	5880
1320	4720	3920	5880
1330	4710	3900	5870
1350	4710	3890	5860
1370	4720	3890	5830
1400	4720	3880	5810
1430	4700	3860	5780
1460	4700	3860	5760
1470	4680	3860	5730
1490	4670	3870	5710
1510	4660	3870	5680
1520	4660	3860	5690
1510	4650	3850	5680
1530	4650	3830	5670
1540	4650	3810	5660
1550	4640	3800	5630
1550	4660	3790	5630
1570	4660	3760	5620
1590	4670	3740	5610
1610	4680	3720	5590
1630	4670	3700	5580
1640	4690	3670	5570
1660	4700	3640	5560
1670	4710	3620	5540
1690	4710	3610	5540
1690	4720	3590	5520
1700	4740	3580	5520
1720	4720	3570	5520
1740	4710	3560	5520
1750	4700	3550	5500
1750	4700	3530	5470
1780	4690	3520	5450
1820	4650	3510	5430
1840	4600	3500	5410
1850	4570	3490	5400
1860	4570	3470	5370
1870	4570	3460	5360
1910	4560	3430	5340
1920	4540	3420	5330
1930	4540	3400	5320
1940	4550	3380	5310
1950	4550	3360	5300
1970	4560	3320	5280
1990	4570	3300	5270
1990	4570	3290	5270
2000	4570	3270	5270
2010	4570	3270	5270
2020	4570	3240	5260
2040	4570	3230	5240
2050	4570	3220	5210
2090	4560	3210	5200
2120	4550	3200	5180
2140	4540	3200	5150
2160	4550	3190	5130
2170	4540	3180	5110
2180	4550	3170	5090
2210	4550	3150	5070
2220	4550	3120	5040
2240	4580	3110	5030
2270	4580	3090	5020
2290	4600	3070	5010
2310	4610	3030	4990
2330	4620	3020	4990
2350	4610	2990	4980
2360	4610	2990	4970
2370	4610	2990	4980
2390	4620	2970	4970
2420	4630	2950	4970
2440	4620	2930	4970
2450	4630	2910	4950
2460	4630	2900	4930
2490	4640	2900	4920
2510	4640	2900	4890
2520	4640	2890	4850
2530	4640	2860	4820
2550	4640	2850	4790
2570	4650	2830	4760
2590	4670	2810	4750
2620	4690	2780	4730
2650	4700	2750	4730
2670	4740	2710	4720
2690	4760	2690	4720
2720	4790	2660	4720
2740	4820	2640	4700
2770	4870	2620	4700
2790	4910	2590	4690
2800	4950	2570	4660
2830	4970	2570	4630
2850	4980	2550	4610
2880	4970	2530	4570
2910	4970	2530	4530
2940	4960	2520	4520
2960	4930	2510	4500
2990	4890	2490	4470
3020	4890	2470	4450
3060	4890	2440	4430
3090	4930	2430	4400
3100	4950	2380	4390
3120	4980	2350	4390
3150	4990	2330	4390
3170	5000	2300	4400
3180	5000	2300	4400
3200	5000	2280	4400
3210	5000	2280	4390
3230	5000	2260	4380
3240	5000	2240	4360
3260	5010	2220	4340
3290	5030	2210	4330
3310	5030	2200	4310
3340	5020	2210	4290
3370	5030	2210	4260
3400	5030	2190	4240
3420	5040	2180	4230
3440	5050	2160	4210
3450	5050	2150	4190
3480	5050	2130	4170
3490	5040	2110	4160
3510	5040	2070	4160
3530	5060	2060	4160
3540	5070	2030	4150
3570	5080	2010	4140
3590	5080	2000	4130
3610	5100	1990	4110
3630	5090	1980	4100
3670	5090	1970	4080
3700	5090	1950	4070
3720	5090	1950	4060
3750	5110	1940	4050
3770	5100	1940	4020
3790	5100	1930	4000
3800	5110	1910	3980
3830	5130	1900	3960
3850	5140	1880	3940
3880	5170	1860	3930
3900	5200	1850	3920
3920	5230	1830	3910
3950	5260	1800	3900
3990	5280	1780	3900
4020	5310	1760	3890
4050	5310	1750	3880
4080	5320	1740	3850
4100	5330	1750	3830
4130	5340	1730	3790
4160	5350	1720	3760
4190	5350	1730	3750
4220	5360	1730	3740
4240	5370	1720	3710
4260	5380	1720	3700
4300	5390	1700	3690
4320	5400	1690	3680
4340	5420	1680	3670
4350	5440	1660	3670
4370	5470	1650	3650
4380	5470	1620	3650
4390	5500	1610	3650
4400	5520	1600	3650
4430	5550	1590	3630
4450	5550	1580	3630
4480	5560	1590	3610
4510	5570	1600	3600
