监测时间,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),近地风速(m/s),风向(°)
2019/4/16,监测点A1,8.782608695652174,49.08695652173913,41.869565217391305,48.65217391304348,54.56521739130435,0.8478260869565218,0,0,0,
2019/4/17,监测点A1,14.0,69.21739130434783,102.21739130434783,62.47826086956522,94.1304347826087,1.173913043478261,0,0,0,
2019/4/18,监测点A1,13.695652173913043,40.30434782608695,44.43478260869565,24.565217391304348,55.04347826086956,0.7695652173913045,0,0,0,
2019/4/19,监测点A1,13.304347826086957,49.21739130434783,35.04347826086956,28.523809523809526,39.65217391304348,0.7521739130434781,0,0,0,
2019/4/20,监测点A1,13.565217391304348,65.3913043478261,48.130434782608695,29.608695652173914,19.043478260869566,0.9130434782608698,0,0,0,
2019/4/21,监测点A1,12.173913043478262,55.391304347826086,58.69565217391305,26.869565217391305,23.043478260869566,0.9956521739130434,0,0,0,
2019/4/22,监测点A1,10.08695652173913,26.217391304347824,39.130434782608695,16.363636363636363,26.17391304347826,0.6391304347826087,0,0,0,
2019/4/23,监测点A1,8.826086956521738,22.608695652173914,31.608695652173914,15.666666666666666,30.52173913043478,0.5130434782608696,0,0,0,
2019/4/24,监测点A1,9.130434782608695,21.869565217391305,32.608695652173914,12.478260869565217,40.52173913043478,0.48695652173913045,0,0,0,
2019/4/25,监测点A1,8.652173913043478,22.043478260869566,36.65217391304348,17.565217391304348,45.73913043478261,0.517391304347826,0,0,0,
2019/4/26,监测点A1,9.565217391304348,28.652173913043477,47.608695652173914,21.73913043478261,49.34782608695652,0.6173913043478259,0,0,0,
2019/4/27,监测点A1,10.391304347826088,51.73913043478261,28.82608695652174,13.130434782608695,38.56521739130435,0.6869565217391304,0,0,0,
2019/4/28,监测点A1,11.347826086956522,44.65217391304348,46.08695652173913,20.695652173913043,46.47826086956522,0.7478260869565215,0,0,0,
2019/4/29,监测点A1,10.91304347826087,26.608695652173914,44.69565217391305,19.26086956521739,47.0,0.6478260869565217,0,0,0,
2019/4/30,监测点A1,9.826086956521738,23.82608695652174,31.956521739130434,13.391304347826088,63.69565217391305,0.6391304347826087,0,0,0,
2019/5/1,监测点A1,10.478260869565217,20.391304347826086,27.0,7.608695652173913,60.130434782608695,0.8,0,0,0,
2019/5/2,监测点A1,8.304347826086957,27.565217391304348,34.78260869565217,17.47826086956522,44.43478260869565,0.8608695652173912,0,0,0,
2019/5/3,监测点A1,9.652173913043478,30.304347826086957,48.78260869565217,22.47826086956522,80.08695652173913,0.782608695652174,0,0,0,
2019/5/4,监测点A1,10.08695652173913,54.47826086956522,64.3913043478261,31.91304347826087,55.04347826086956,0.7217391304347825,0,0,0,
2019/5/5,监测点A1,8.608695652173912,48.47826086956522,34.82608695652174,22.0,26.217391304347824,0.8173913043478261,0,0,0,
2019/5/6,监测点A1,8.304347826086957,44.26086956521739,19.043478260869566,10.565217391304348,19.52173913043478,0.7869565217391308,0,0,0,
2019/5/7,监测点A1,8.826086956521738,46.65217391304348,26.565217391304348,13.869565217391305,26.217391304347824,0.608695652173913,0,0,0,
2019/5/8,监测点A1,9.173913043478262,49.26086956521739,30.304347826086957,18.695652173913043,16.391304347826086,0.5347826086956521,0,0,0,
2019/5/9,监测点A1,9.130434782608695,51.26086956521739,37.52173913043478,17.26086956521739,34.130434782608695,0.5826086956521739,0,0,0,
2019/5/10,监测点A1,15.26086956521739,51.17391304347826,70.91304347826087,30.91304347826087,60.69565217391305,0.6956521739130433,0,0,0,
2019/5/11,监测点A1,18.391304347826086,39.17391304347826,71.52173913043478,38.91304347826087,111.1304347826087,0.617391304347826,0,0,0,
2019/5/12,监测点A1,15.565217391304348,33.130434782608695,65.21739130434783,32.17391304347826,108.08695652173913,0.5130434782608695,0,0,0,
2019/5/13,监测点A1,14.565217391304348,29.52173913043478,53.34782608695652,24.869565217391305,70.82608695652173,0.46521739130434786,0,0,0,
2019/5/14,监测点A1,12.478260869565217,21.217391304347824,40.608695652173914,19.304347826086957,57.47826086956522,0.42173913043478267,0,0,0,
2019/5/15,监测点A1,11.043478260869565,22.043478260869566,37.34782608695652,16.869565217391305,36.0,0.4739130434782609,0,0,0,
2019/5/16,监测点A1,9.565217391304348,17.347826086956523,39.17391304347826,16.304347826086957,42.73913043478261,0.39565217391304364,0,0,0,
2019/5/17,监测点A1,9.08695652173913,16.217391304347824,37.78260869565217,14.217391304347826,41.0,0.38695652173913053,0,0,0,
2019/5/18,监测点A1,8.782608695652174,14.91304347826087,39.69565217391305,14.91304347826087,55.608695652173914,0.3913043478260871,0,0,0,
2019/5/19,监测点A1,8.391304347826088,11.608695652173912,39.30434782608695,13.956521739130435,61.78260869565217,0.37826086956521754,0,0,0,
2019/5/20,监测点A1,10.608695652173912,22.347826086956523,42.95652173913044,14.173913043478262,77.47826086956522,0.4565217391304347,0,0,0,
2019/5/21,监测点A1,11.173913043478262,38.34782608695652,58.82608695652174,30.82608695652174,53.0,0.5391304347826086,0,0,0,
2019/5/22,监测点A1,12.304347826086957,26.565217391304348,49.73913043478261,25.956521739130434,88.69565217391305,0.4304347826086957,0,0,0,
2019/5/23,监测点A1,11.695652173913043,41.82608695652174,55.43478260869565,31.608695652173914,61.08695652173913,0.5478260869565217,0,0,0,
2019/5/24,监测点A1,11.434782608695652,32.43478260869565,49.56521739130435,25.869565217391305,66.56521739130434,0.46521739130434797,0,0,0,
2019/5/25,监测点A1,10.91304347826087,33.08695652173913,39.69565217391305,19.565217391304348,42.34782608695652,0.45217391304347837,0,0,0,
2019/5/26,监测点A1,10.826086956521738,19.391304347826086,18.304347826086957,8.454545454545455,46.30434782608695,0.3826086956521739,0,0,0,
2019/5/27,监测点A1,11.217391304347826,23.347826086956523,21.565217391304348,6.3478260869565215,50.65217391304348,0.38260869565217387,0,0,0,
2019/5/28,监测点A1,12.695652173913043,37.608695652173914,38.47826086956522,19.695652173913043,55.52173913043478,0.5086956521739131,0,0,0,
2019/5/29,监测点A1,10.826086956521738,47.130434782608695,27.52173913043478,16.82608695652174,30.82608695652174,0.4913043478260869,0,0,0,
2019/5/30,监测点A1,13.0,41.91304347826087,34.17391304347826,16.82608695652174,54.52173913043478,0.49130434782608684,0,0,0,
2019/5/31,监测点A1,13.91304347826087,42.30434782608695,38.47826086956522,19.695652173913043,42.95652173913044,0.5478260869565217,0,0,0,
2019/6/1,监测点A1,10.043478260869565,28.73913043478261,28.17391304347826,14.347826086956522,38.08695652173913,0.5304347826086958,0,0,0,
2019/6/2,监测点A1,10.173913043478262,21.217391304347824,21.82608695652174,7.782608695652174,34.69565217391305,0.4521739130434782,0,0,0,
2019/6/3,监测点A1,10.608695652173912,24.47826086956522,24.043478260869566,11.782608695652174,51.08695652173913,0.5391304347826089,0,0,0,
